ANAPTYCHIA PALMULATA
ARTHONIA CAUDATA
Abrothallus smithii
Absconditella lignicola
Absconditella trivialis
Acarospora
Acarospora amphibola
Acarospora cervina
Acarospora cinereoalba
Acarospora fuscata
Acarospora glaucocarpa
Acarospora heppii
Acarospora immersa
Acarospora moenium
Acarospora rufescens
Acarospora schleicheri
Acarospora sinopica
Acarospora smaragdula
Acarospora veronensis
Acolium tigillare
Acrocordia gemmata
Acrocordia megalospora
Actinogyra muhlenbergii
Agonimia
Agonimia flabelliformis
Agyrium rufum
Ahtiana aurescens
Ainoa mooreana
Alectoria
Alectoria chalybeiformis
Alectoria jubata
Alectoria nidulifera
Alectoria ochroleuca
Alectoria sarmentosa
Allocetraria oakesiana
Alyxoria lichenoides
Alyxoria varia
Amandinea
Amandinea leucomela
Amandinea milliaria
Amandinea polyspora
Amandinea punctata
Amandinea turgescens
Anaptychia
Anaptychia ciliaris
Anaptychia hypoleuca
Anaptychia palmulata
Anaptychia pseudospeciosa
Anaptychia runcinata
Anaptychia speciosa
Anisomeridium
Anisomeridium biforme
Anisomeridium distans
Anisomeridium juistense
Anisomeridium leucochlorum
Anisomeridium nyssigenum
Anisomeridium nyssogenum
Anisomeridium polypori
Anthracothecium staurosporum
Anzia colpodes
Arctoparmelia centrifuga
Arthonia
Arthonia albofuscescens
Arthonia astroidea
Arthonia atra
Arthonia biformis
Arthonia caesia
Arthonia caudata
Arthonia cupressina
Arthonia diffusa
Arthonia dispersa
Arthonia epipastoides
Arthonia excedens
Arthonia excipienda
Arthonia exilis
Arthonia glaucella
Arthonia glaucescens
Arthonia glebosa
Arthonia hamamelidis
Arthonia helvola
Arthonia hibernica
Arthonia hypobela
Arthonia lapidicola
Arthonia lecideella
Arthonia patellulata
Arthonia pinastri
Arthonia punctiformis
Arthonia pyrrhula
Arthonia pyrrhuliza
Arthonia quintaria
Arthonia radiata
Arthonia radiata var. swartziana
Arthonia ruana
Arthonia siderea
Arthonia spectabilis
Arthonia subastroidella
Arthonia subminutissima
Arthonia subminutula
Arthonia susa
Arthonia taediosa
Arthonia terrigena
Arthonia tuckermaniana
Arthonia vagans
Arthonia varians
Arthonia vinosa
Arthonia vulgaris
Arthonia xylographica
Arthopyrenia
Arthopyrenia analepta
Arthopyrenia consequella
Arthopyrenia consequens
Arthopyrenia degelii
Arthopyrenia lapponina
Arthopyrenia leucochlora
Arthopyrenia litoralis
Arthopyrenia macrocarpa
Arthopyrenia punctiformis
Arthopyrenia rhyponta
Arthopyrenia salicis
Arthopyrenia spectabilis
Arthothelium
Arthothelium dispersum
Arthothelium hallii
Arthothelium ruanum
Arthothelium spectabile
Arthothelium subastroideum
Arthothelium taediosum
Arthrosporum populorum
Aspicilia
Aspicilia caesiocinerea
Aspicilia cinerea
Aspicilia gibbosa
Aspicilia laevata
Aspicilia moenium
Aspicilia verrucigera
Athallia holocarpa
Athallia scopularis
BUELLIA DISCIFORMIS
Bacidia
Bacidia acclinis
Bacidia arceutina
Bacidia assulata
Bacidia atrosanguinea
Bacidia bagliettoana
Bacidia chlorantha
Bacidia chlorococca
Bacidia chlorosticta
Bacidia circumspecta
Bacidia declinis
Bacidia diffracta
Bacidia granosa
Bacidia gyalizella
Bacidia hemipolia
Bacidia incompta
Bacidia inundata
Bacidia laurocerasi
Bacidia naegelii
Bacidia polychroa
Bacidia populorum
Bacidia rubella
Bacidia rubidofusca
Bacidia sabuletorum
Bacidia schweinitzii
Bacidia scopulicola
Bacidia sphaeroides
Bacidia suffusa
Bacidia trachona
Bacidia umbrina
Bacidia viridescens
Bacidina
Bacidina arnoldiana
Bacidina delicata
Bacidina egenula
Bacidina inundata
Baculifera curtisii
Baeomyces fungoides
Baeomyces placophyllus
Baeomyces roseus
Baeomyces rufus
Bagliettoa calciseda
Biatora
Biatora albidula
Biatora anthracophila
Biatora atropurpurea
Biatora beckhausii
Biatora chlorantha
Biatora chlorosticta
Biatora chrysantha
Biatora cladoniscum
Biatora coarctata
Biatora cyrtella
Biatora declinis
Biatora difformis
Biatora efflorescens
Biatora endocyanea
Biatora exigua
Biatora flavens
Biatora flexuosa
Biatora friesii
Biatora glauconigrans
Biatora granulosa
Biatora helvola
Biatora hypnophila
Biatora leucampyx
Biatora longispora
Biatora lucida
Biatora micrococca
Biatora naegelii
Biatora nylanderi
Biatora ochrophaea
Biatora oxyspora
Biatora papillariae
Biatora peliaspis
Biatora pontica
Biatora porphyrospoda
Biatora prasina
Biatora printzenii
Biatora punctella
Biatora resinae
Biatora rivulosa
Biatora rubella
Biatora rubidofusca
Biatora sanguineoatra
Biatora terrena
Biatora tornoensis
Biatora trachona
Biatora tricolor
Biatora turgidula
Biatora uliginosa
Biatora umbrina
Biatora varians
Biatora vernalis
Biatora viridescens
Biatorella fossarum
Bilimbia gyalizella
Bilimbia naegelii
Bilimbia sabuletorum
Bilimbia trisepta
Blastenia ferruginea
Bombyliospora tuberculosa
Bryobilimbia hypnorum
Bryobilimbia sanguineoatra
Bryophagus gloeocapsa
Bryoria
Bryoria chalybeiformis
Bryoria furcellata
Bryoria fuscescens
Bryoria implexa
Bryoria salazinica
Bryoria trichodes
Buellia
Buellia alboatra
Buellia badia
Buellia colludens
Buellia conspirans
Buellia curtisii
Buellia dialyta
Buellia disciformis
Buellia elizae
Buellia erubescens
Buellia glaucomarioides
Buellia griseovirens
Buellia lepidastra
Buellia maculata
Buellia myriocarpa
Buellia myriocarpa var. polyspora
Buellia parasema
Buellia parasitica
Buellia petraea
Buellia polyspora
Buellia punctata
Buellia schaereri
Buellia spuria
Buellia stellulata
Buellia stigmaea
Buellia stillingiana
Buellia turgescens
Buellia vernicoma
Buellia verruculosa
CALOPLACA CERINA
CLADONIA ARBUSCULA
CLADONIA BORYI
CLADONIA CAESPITICIA
CLADONIA CARIOSA
CLADONIA CONIOCRAEA
CLADONIA CRISTATELLA
CLADONIA FURCATA
CLADONIA PARASITICA
CLADONIA PEZIZIFORMIS
CLADONIA PYXIDATA
CLADONIA RANGIFERINA
CLADONIA SQUAMOSA
CLADONIA UNCIALIS
COLLEMA LEPTALEUM
CYPHELIUM TIGILLARE
Caliciales
Calicium
Calicium abietinum
Calicium chrysocephalum
Calicium curtisii
Calicium curtum
Calicium glaucellum
Calicium lenticulare
Calicium microcephalum
Calicium notarisii
Calicium pallidellum
Calicium parietinum
Calicium parvum
Calicium pinastri
Calicium polyporaeum
Calicium quercinum
Calicium salicinum
Calicium stemoneum
Calicium subquercinum
Calicium subtile
Calicium tigillare
Calicium trabinellum
Calicium trichiale
Caloplaca
Caloplaca ahtii
Caloplaca arenaria
Caloplaca atrosanguinea
Caloplaca aurantia
Caloplaca aurantiaca
Caloplaca camptidia
Caloplaca cerina
Caloplaca chlorina
Caloplaca cinnabarina
Caloplaca citrina
Caloplaca crenulatella
Caloplaca diphyodes
Caloplaca discolor
Caloplaca elegans
Caloplaca feracissima
Caloplaca ferruginea
Caloplaca flavocitrina
Caloplaca flavorubescens
Caloplaca flavovirescens
Caloplaca fulva
Caloplaca holocarpa
Caloplaca kamczatica
Caloplaca lactea
Caloplaca lithophila
Caloplaca microphyllina
Caloplaca microthallina
Caloplaca murorum
Caloplaca obliterascens
Caloplaca oxfordensis
Caloplaca pollinii
Caloplaca pyracea
Caloplaca reptans
Caloplaca saxicola
Caloplaca schaereri
Caloplaca scopularis
Caloplaca sideritis
Caloplaca sipeana
Caloplaca subnigricans
Caloplaca subsoluta
Caloplaca verruculifera
Caloplaca vicaria
Caloplaca xanthostigmoidea
Candelaria
Candelaria aurella
Candelaria concolor
Candelaria concolor var. effusa
Candelaria fibrosa
Candelariella
Candelariella aurella
Candelariella efflorescens
Candelariella vitellina
Candelariella xanthostigma
Catapyrenium cinereum
Catapyrenium tuckermanii
Catillaria
Catillaria atropurpurea
Catillaria chalybeia
Catillaria glauconigrans
Catillaria griffithii
Catillaria heeri
Catillaria laureri
Catillaria nigroclavata
Catillaria synothea
Catillaria terrena
Catinaria atropurpurea
Cetraria
Cetraria aleurites
Cetraria arenaria
Cetraria aurescens
Cetraria ciliaris
Cetraria ericetorum
Cetraria fendleri
Cetraria halei
Cetraria islandica
Cetraria islandica subsp. islandica
Cetraria islandica var. tenuifolia
Cetraria juniperina
Cetraria lacunosa
Cetraria oakesiana
Cetraria orbata
Cetraria pinastri
Cetraria placorodia
Cetraria tuckermanii
Cetraria viridis
Cetrelia cetrarioides
Cetrelia chicitae
Cetrelia olivetorum
Chaenotheca
Chaenotheca brunneola
Chaenotheca chrysocephala
Chaenotheca ferruginea
Chaenotheca furfuracea
Chaenotheca hispidula
Chaenotheca laevigata
Chaenotheca phaeocephala
Chaenotheca stemonea
Chaenotheca trichialis
Chaenotheca xyloxena
Chaenothecopsis
Chaenothecopsis debilis
Chaenothecopsis lignicola
Chaenothecopsis pusilla
Chaenothecopsis pusiola
Chaenothecopsis savonica
Chaenothecopsis viridireagens
Chrismofulvea dialyta
Chrysothrix caesia
Chrysothrix candelaris
Chrysothrix chamaecyparicola
Chrysothrix chlorina
Chrysothrix susquehannensis
Chrysothrix xanthina
Circinaria gibbosa
Cladina alpestris
Cladina arbuscula
Cladina arbuscula subsp. squarrosa
Cladina ciliata f. tenuis
Cladina ciliata var. tenuis
Cladina impexa
Cladina mitis
Cladina portentosa
Cladina portentosa f. spumosa
Cladina rangifera
Cladina rangiferina
Cladina rangiferina subsp. rangiferina
Cladina stellaris
Cladina stygia
Cladina submitis
Cladina subtenuis
Cladina tenuis
Cladina terrae-novae
Cladonia
Cladonia acuminans
Cladonia acuminata
Cladonia alcicornis
Cladonia alpestris
Cladonia amaurocraea
Cladonia apodocarpa
Cladonia arbuscula
Cladonia arbuscula subsp. arbuscula
Cladonia arbuscula subsp. mitis
Cladonia atlantica
Cladonia bacillaris
Cladonia bacilliformis
Cladonia beaumontii
Cladonia bellidiflora
Cladonia borbonica
Cladonia boryi
Cladonia botrytes
Cladonia brevis
Cladonia caespiticia
Cladonia capitata
Cladonia carassensis
Cladonia cariosa
Cladonia carneola
Cladonia caroliniana
Cladonia cenotea
Cladonia cervicornis
Cladonia cervicornis subsp. cervicornis
Cladonia cervicornis subsp. verticillata
Cladonia cervicornis var. verticillata
Cladonia cetrarioides
Cladonia chlorophaea
Cladonia ciliata
Cladonia ciliata var. tenuis
Cladonia clavulifera
Cladonia coccifera
Cladonia confusa
Cladonia coniocraea
Cladonia conista
Cladonia conistea
Cladonia convoluta
Cladonia cornucopioides
Cladonia cornuta
Cladonia crispata
Cladonia crispata var. crispata
Cladonia crispata var. divulsa
Cladonia crispata var. elegans
Cladonia cristatella
Cladonia cryptochlorophaea
Cladonia cylindrica
Cladonia dahliana
Cladonia decorticata
Cladonia deformis
Cladonia degenerans
Cladonia delicata
Cladonia didyma
Cladonia didyma var. muscigena
Cladonia didyma var. vulcanica
Cladonia digitata
Cladonia dimorphoclada
Cladonia ecmocyna
Cladonia elongata
Cladonia farinacea
Cladonia fimbriata
Cladonia fimbriata f. conista
