ANAPTYCHIA PALMULATA
ARCTOPARMELIA CENTRIFUGA
ARTHONIA CAUDATA
BAEOMYCES BYSSOIDES
BRYORIA FURCELLATA
BUELLIA DISCIFORMIS
BUELLIA
CALOPLACA CERINA
CANDELARIA CONCOLOR
CETRARIA ERICETORUM
CETRARIA ISLANDICA
CETRELIA CHICITAE
CETRELIA OLIVETORUM
CLADONIA ARBUSCULA
CLADONIA BORYI
CLADONIA CAESPITICIA
CLADONIA CARIOSA
CLADONIA CONIOCRAEA
CLADONIA CRISPATA
CLADONIA CRISTATELLA
CLADONIA DEFORMIS
CLADONIA DIGITATA
CLADONIA FURCATA
CLADONIA GRACILIS
CLADONIA GRAYI
CLADONIA MULTIFORMIS
CLADONIA PARASITICA
CLADONIA PEZIZIFORMIS
CLADONIA PLEUROTA
CLADONIA PYXIDATA
CLADONIA RANGIFERINA
CLADONIA SQUAMOSA
CLADONIA STELLARIS
CLADONIA SUBMITIS
CLADONIA TURGIDA
CLADONIA UNCIALIS
COLLEMA LEPTALEUM
COLLEMA NIGRESCENS
CYPHELIUM TIGILLARE
DERMATOCARPON MINIATUM
DIBAEIS BAEOMYCES
DIMELAENA OREINA
DIPLOSCHISTES SCRUPOSUS
EVERNIA MESOMORPHA
FLAVOPARMELIA BALTIMORENSIS
FLAVOPARMELIA CAPERATA
HETERODERMIA HYPOLEUCA
HYPOGYMNIA ENTEROMORPHA
HYPOGYMNIA KROGIAE
HYPOGYMNIA PHYSODES
ICMADOPHILA ERICETORUM
JULELLA SERICEA
LASALLIA PAPULOSA
LECANIA CYRTELLA
LECANORA ALLOPHANA
LECANORA HAGENII
LOBARIA PULMONARIA
LOBARIA QUERCIZANS
LOXOSPORA OCHROPHAEA
MELANELIA STYGIA
MELANOHALEA OLIVACEA
MELANOHALEA SEPTENTRIONALIS
MICAREA PRASINA
MONTANELIA SOREDIATA
MYCOBLASTUS SANGUINARIUS
MYCOCALICIUM SUBTILE
MYELOCHROA AURULENTA
MYELOCHROA GALBINA
NEPHROMA LAEVIGATUM
OCHROLECHIA SUBVIRIDIS
OCHROLECHIA TARTAREA
OPEGRAPHA VARIA
OPHIOPARMA LAPPONICA
PARMELIA OMPHALODES
PARMELIA SAXATILIS
PARMELIA SQUARROSA
PARMELIA SULCATA
PARMELIOPSIS AMBIGUA
PARMELIOPSIS HYPEROPTA
PARMOTREMA PERFORATUM
PARMOTREMA PERLATUM
PELTIGERA CANINA
PELTIGERA DIDACTYLA
PELTIGERA ELISABETHAE
PELTIGERA HORIZONTALIS
PELTIGERA HYDROTHYRIA
PERTUSARIA COMMUNIS
PERTUSARIA LEIOPLACA
PERTUSARIA MULTIPUNCTA
PERTUSARIA RUBEFACTA
PHAEOPHYSCIA ORBICULARIS
PHAEOPHYSCIA RUBROPULCHRA
PHYSCIA ADSCENDENS
PHYSCIA CAESIA
PHYSCIA MILLEGRANA
PHYSCIA STELLARIS
PHYSCIA SUBTILIS
PHYSCIA TRIBACIA
PLACYNTHIELLA ULIGINOSA
PLATISMATIA GLAUCA
PLATISMATIA TUCKERMANII
PORPIDIA ALBOCAERULESCENS
PSEUDEVERNIA CLADONIA
PSEUDEVERNIA CONSOCIANS
PSEUDOCYPHELLARIA CROCATA
PUNCTELIA RUDECTA
PYCNOTHELIA papillaria
PYXINE SOREDIATA
RAMALINA CALICARIS
RAMALINA FARINACEA
RAMALINA ROESLERI
RAMALINA WILLEYI
RAMBOLDIA ELABENS
RHIZOCARPON GRANDE
RHIZOCARPON
RHIZOPLACA CHRYSOLEUCA
RUSAVSKIA ELEGANS
SCYTINIUM TENUISSIMUM
STEREOCAULON
STEREOCAULON PASCHALE
STICTIS URCEOLATUM
TRAPELIOPSIS GRANULOSA
UMBILICARIA HYPERBOREA
UMBILICARIA MAMMULATA
UMBILICARIA MUEHLENBERGII
USNEA ANGULATA
USNEA ARTICULATA
USNEA BARBATA
USNEA GLABRATA
USNEA LONGISSIMA
USNEA SUBFUSCA
USNEA TRICHODEA
USNOCETRARIA OAKESIANA
VARIOLARIA AMARA
VULPICIDA PINASTRI
VULPICIDA VIRIDIS
XANTHOPARMELIA
XANTHOPARMELIA COLORADOENSIS
XANTHOPARMELIA CUMBERLANDIA
XANTHOPARMELIA NOVOMEXICANA
XANTHOPARMELIA PLITTII
XANTHORIA PARIETINA
