Bridgewater 	City[4] 	Plymouth 	Council-manager 	28,633 	28.2 	27.5 	1656 	Although it is a city, the official name is Town of Bridgewater
Brimfield 	Town 	Hampden 	Open town meeting 	3,694 	35.2 	34.7 	1731 	
Brockton † 	City 	Plymouth 	Mayor-council 	105,643 	21.5 	21.3 	1821 	
Brookfield 	Town 	Worcester 	Open town meeting 	3,439 	16.6 	15.5 	1718 	
Brookline 	Town 	Norfolk 	Representative town meeting 	63,191 	6.8 	6.8 	1705 	
Buckland 	Town 	Franklin 	Open town meeting 	1,816 	19.9 	19.7 	1779 	
Burlington 	Town 	Middlesex 	Representative town meeting 	26,377 	11.9 	11.8 	1799 	
Cambridge † 	City 	Middlesex 	Mayor-manager-council 	118,403 	7.1 	6.4 	1636 	
Canton 	Town 	Norfolk 	Open town meeting 	24,370 	19.6 	18.9 	1797 	
Carlisle 	Town 	Middlesex 	Open town meeting 	5,237 	15.6 	15.4 	1780 	
Carver 	Town 	Plymouth 	Open town meeting 	11,645 	39.7 	37.4 	1790 	
Charlemont 	Town 	Franklin 	Open town meeting 	1,185 	26.4 	25.9 	1765 	
Charlton 	Town 	Worcester 	Open town meeting 	13,315 	43.8 	42.5 	1755[6] 	
Chatham 	Town 	Barnstable 	Open town meeting 	6,594 	24.4 	16.3 	1712 	
Chelmsford 	Town 	Middlesex 	Representative town meeting 	36,392 	23.2 	22.7 	1655 	
Chelsea 	City 	Suffolk 	Council-manager 	40,787 	2.5 	2.2 	1739 	
Cheshire 	Town 	Berkshire 	Open town meeting 	3,258 	27.5 	26.8 	1793 	
Chester 	Town 	Hampden 	Open town meeting 	1,228 	37.2 	36.6 	1765 	
Chesterfield 	Town 	Hampshire 	Open town meeting 	1,186 	31.2 	30.8 	1762 	
Chicopee 	City 	Hampden 	Mayor-council 	55,560 	23.9 	22.9 	1848 	
Chilmark 	Town 	Dukes 	Open town meeting 	1,212 	100.4 	19 	1714 	
Clarksburg 	Town 	Berkshire 	Open town meeting 	1,657 	12.8 	12.8 	1798 	
Clinton 	Town 	Worcester 	Open town meeting 	15,428 	7.3 	5.7 	1850 	
