Abrothallus 	cetrariae 
Belonia russula	Gyalecta russula
Biatora aeruginosa	Icmadophila ericetorum
Biatora albidula	Myrionora albidula
Biatora albohyalina	Mycobilimbia albohyalina
Biatora anthracophila	Carbonicola anthracophila
Biatora atrofusca	Bryobilimbia hypnorum
Biatora atrogrisea	Bacidia laurocerasi
Biatora atropurpurea	Catinaria atropurpurea
Biatora atrorufa	Lecidoma demissum
Biatora aurantiaca	Blastenia ferruginea
Biatora byssoides	Baeomyces byssoides
Biatora campestris	Sarcosagium compestre
Biatora carneola	Pachyphiale carneola
Biatora carnulenta	Lecidea carnulenta
Biatora chlorantha	Ropalospora chlorantha
Biatora chlorosticta	Micarea chlorosticta
Biatora coarctata	Trapelia coarctata
Biatora cyrtella	Lecania cyrtella
Biatora declinis	Catillaria nigroclavata
Biatora decolorans	Trapeliopsis granulosa
Biatora diapensiae	Bryobilimbia diapensiae
Biatora difformis	Sarea difformis
Biatora dilutiuscula	Brianaria bauschiana
Biatora effusa	Bacidia arceutina
Biatora endocyanea	Micarea endocyanea
Biatora exigua	Lecidea varians
Biatora ferruginea	Blastenia ferruginea,
Biatora flavidolivens	Lecidea flavidolivens
Biatora flexuosa	Trapeliopsis flexuosa
Biatora friesii	Xylopsora friesii
Biatora fuscorubella	Bacidia polychroa
Biatora gelatinosa	Trapeliopsis gelatinosa
Biatora geophana	Steinia geophana
Biatora glauconigrans	Catillaria glauconigrans
Biatora globifera	Psora globifera,
Biatora globulosa	Myrionora globulosa
Biatora granulosa	Trapeliopsis granulosa
Biatora griffithii	Cliostomum griffithii
Biatora grossa	Megalaria grossa
Biatora gyalizella	Gyalecta gyalizella
Biatora heerii	Scutula heerii
Biatora hochstetteri	Rhizocarpon hochstetteri
Biatora hypnophila	Bilimbia sabuletorum
Biatora icmadophila	Icmadophila ericetorum
Biatora incompta	Bacidia incompta,
Biatora inundata	Bacidina inundata
Biatora laureri	Catillaria laureri
Biatora leucampyx	Bacidia schweinitzii
Biatora lucida	Psilolechia lucida
Biatora melaena	Micarea melaena
Biatora micrococca	Micarea micrococca
Biatora milliaria	Micarea lignaria
Biatora mixta	Cliostomum griffithii
Biatora moriformis	Strangospora moriformis
Biatora muscorum	Bacidia bagliettoana
Biatora myriocarpoides	Lecidea plebeja
Biatora naegelii	Lecaniella naegelii
Biatora nylanderi	Lecidea nylanderi
Biatora ochrophaea	Loxospora ochrophaea
Biatora ostreata	Hypocenomyce scalaris
Biatora oxyspora	Nesolechia oxyspora
Biatora peliaspis	Lecidea peliaspis,
Biatora pineti	Coenogonium pineti
Biatora placophylla	Baeomyces placophyllus
Biatora porphyrites	Megalospora porphyritis
Biatora porphyrospoda	Myochroidea porphyrospoda
Biatora prasina	Micarea prasina
Biatora prasina	Micarea prasina
Biatora punctella	Micarea rhabdogena
Biatora resinae	Sarea resinae
Biatora rivulosa	Fuscidea cyathoides,
Biatora rubella	Bacidia rubella
Biatora rubidofusca	Bacidia rubidofusca
Biatora rufonigra	Psorula rufonigra
Biatora russula	Ramboldia russula
Biatora russellii	Psora russellii,
Biatora sabuletorum	Bilimbia tetramera
Biatora sanguineoatra	Bryobilimbia sanguineoatra
Biatora saxatilis	Sclerococcum saxatile,
Biatora schweinitzii	Bacidia schweinitzii
Biatora spadicea	Lecidea spadicea
Biatora sphaeroides	Mycobilimbia pilularis
Biatora suffusa	Bacidia suffusa
Biatora terrena	Catillaria terrena
Biatora tetramera	Mycobilimbia tetramera
Biatora tornoënsis	Japewia tornoënsis
Biatora trachona	Bacidia trachona,
Biatora tricolor	Catillaria tricolor
Biatora trisepta	Micarea peliocarpa
Biatora turgidula	Lecidea turgidula
Biatora uliginosa	Placynthiella uliginosa
Biatora umbrina	Scoliciosporum umbrinum
Biatora varians	Lecidea varians
Biatora viridescens	Trapeliopsis viridescens
Biatorella albidula	Myrionora albidula
Biatorella campestris	Sarcosagium campestre
Biatorella clavus	Sarcogyne clavus
Biatorella difformis	Sarea difformis
Biatorella geophana	Steinia geophana
Biatorella microhaema	Strangospora microhaema
Biatorella moriformis	Strangospora moriformis
Biatorella privigna	Sarcogyne privigna
Biatorella resinae	Sarea resinae
Biatorella similis	Sarcogyne similis
Biatorella simplex	Polysporina simplex
Biatorella simplex	Sarcogyne regularis
Biatorella testudinea	Sporastatia testudinea
Biatorina griffithii	Cliostomum griffithii
Biatorina intermixta	Megalaria intermixta
Biatorina laureri	Megalaria laureri
Bilimbia acclinis	Toninia populorum
Bilimbia caudata	Ropalospora lugubris
Bilimbia declinis	Catillaria nigroclavata
Bilimbia gyalizella	Gyalecta gyalizella
Bilimbia lignaria	Micarea lignaria
Bilimbia melaena	Micarea melaena
Bilimbia naegelii	Lecaniella naegelii
Bilimbia rubidofusca	Bacidia rubidofusca
Bilimbia sphaeroides	Mycobilimbia pilularis
Bilimbia trisepta	Micarea peliocarpa
Blastenia fraudans	Caloplaca fraudans
Bombyliospora porphyritis	Megalospora porphyritis
Bombyliospora tuberculosa	Megalospora tuberculosa,
BORRERA Ach.	TELOSCHISTES 
Borrera tenella	Physcia tenella
Botrydina botryoides	Lichenomphalia umbellifera
Botrydina viridis	Lichenomphalia hudsoniana
Bryophagus gloeocapsa	Cryptodiscus gloeocapsa
Bryoria capillaris	B. pseudofuscescens
Bryoria canadensis	B. trichodes
Bryoria chalybeiformis	B. fuscescens,
Bryoria friabilis	B. pseudofuscescens
Bryoria implexa	B. kockiana
Bryoria lanestris	B. fuscescens
Bryoria pikei	B. pseudofuscescens,
Bryoria trichodes	B. americana
Buellia alboatra	Diplotomma alboatrum
Buellia alpicola	Rhizocarpon alpicola
Buellia athallina	Sclerococcum athallinum
Buellia atrata	Orphniospora moriopsis
Buellia badia	Monerolechia badia
Buellia badioatra	Rhizocarpon badioatrum
Buellia colludens	Rhizocarpon hochstetteri
Buellia coracina	Orphniospora moriopsis
Buellia curtisii	Baculifera curtisii
Buellia dialyta	Chrismofulvea dialyta
Buellia geographica	Rhizocarpon geographicum
Buellia geographica	Rhizocarpon lecanorinum
Buellia geophila	Tetramelas geophila,
Buellia glaucomarioidea	Sclerococcum glaucomarioides
Buellia moriopsis	Orphniospora moriopsis
Buellia myriocarpa	Amandinea punctata
Buellia oederi	Rhizocarpon oederi
Buellia parasema	B. disciformis,
Buellia parasema	Buellia geophila
Buellia parasitica	Sclerococcum parasiticum
Buellia parmeliarum	Abrothallus parmeliarum
Buellia penobscotensis	B. stillingiana
Buellia pertusariicola	Sclerococcum pertusariicola
Buellia petraea	Rhizocarpon petraeum,
Buellia petraea	Rhizocarpon obscuratum,
Buellia petraea	Rhizocarpon grande
Buellia pinastri	Chrismofulvea pinastri,
Buellia polyspora	Amandinea polyspora
Buellia pulchella	Catolechia wahlenbergii,
Buellia punctata	Amandinea punctata
Buellia punctata	Amandinea polyspora
Buellia punctiformis	Buellia punctata
Buellia saxatilis	Sclerococcum saxatile
Buellia stigmaea	B. maculata
Buellia stillingiana	B. erubescens
Buellia turgescens	Monerolechia badia
Buellia turgescentoides	B. turgescens
Buellia verruculosa	B. ocellata
Buellia wahlenbergii	Catolechia wahlenbergii
Buelliella parmeliarum	Abrothallus parmeliarum
Buelliopsis vernicoma	Buellia vernicoma
Calicium arenarium	Microcalicium arenarium
Calicium brunneolum	Chaenotheca brunneola
Calicium byssaceum	Stenocybe pullatula
Calicium chrysocephalum	Chaenotheca chrysocephala
Calicium chrysocephalum	Chaenotheca chrysocephala
Calicium curtisii	Phaeocalicium curtisii
Calicium curtisii	Phaeocalicium curtisii
Calicium curtum	C. abietinum
Calicium fuscipes	Mycocalicium fuscipes
Calicium hyperellum	C. viride
Calicium microcephalum	Sphinctrina anglica
Calicium minutissimum	Phaeocalicium minutissimum
Calicium obscurum	Chaenotheca obscura
Calicium pallidellum	Sphinctrina pallidella
Calicium parietinum	Mycocalicium subtile
Calicium phaeocephalum	Chaenotheca hispidula
Calicium polyporaeum	Phaeocalicium polyporaeum
Calicium populneum	Phaeocalicium populneum
Calicium praecedens	Phaeocalicium praecedens
Calicium rhois	C. curtisii
Calicium roscidum	C. adspersum,
Calicium roscidum	C. trabinellum
Calicium stemoneum	Chaenotheca stemonea
Calicium subquercinum	C. lenticulare
Calicium subtile	Mycocalicium subtile
Calicium subtile	Mycocalicium albonigrum
Calicium trachelinum	C. salicinum
Calicium trichiale	Chaenotheca trichialis
Calicium tubaeforme	Sphinctrina tubaeformis
Calicium turbinatum	Sphinctrina turbinata
Calicium viridulum	Cyphelium lucidum
Caloplaca arenaria	Rufoplaca arenaria
Caloplaca aurantiaca	Gyalolechia flavorubescens
Caloplaca cirrochroa	Leproplaca cirrochroa
Caloplaca citrina	Flavoplaca citrina
Caloplaca crenulatella	Xanthocarpia crenulatella
Caloplaca decipiens	Calogaya decipiens,
Caloplaca discolor	Gyalolechia xanthostigmoidea
Caloplaca elegans	Rusavskia elegans
Caloplaca epixantha	Candelariella aurella
Caloplaca erythrella	Gyalolechia flavovirescens
Caloplaca feracissima	Xanthocarpia feracissima
Caloplaca ferruginea	Blastenia ferruginea,
Caloplaca flavocitrina	Flavoplaca flavocitrina
Caloplaca flavorubescens	Gyalolechia flavorubescens
Caloplaca flavovirescens	Gyalolechia flavovirescens
Caloplaca gilva	C. cerina
Caloplaca holocarpa	Athallia holocarpa
Caloplaca lactea	Xanthocarpia lactea,
Caloplaca lobulata	Calogaya lobulata,
Caloplaca marina	Flavoplaca marina,
Caloplaca microthallina	Flavoplaca microthallina
Caloplaca murorum	Calogaya saxicola,
Caloplaca obliterascens	Flavoplaca microthallina
Caloplaca oxfordensis	Rufoplaca oxfordensis
Caloplaca pyracea	Athallia pyracea
Caloplaca saxicola	Calogaya saxicola
Caloplaca scopularis	Athallia scopularis
Caloplaca sipeana	C. subsoluta
Caloplaca sorediata	Rusavskia sorediata
Caloplaca subnigricans	C. atrosanguinea
Caloplaca subsoluta	Squamulea subsoluta
Caloplaca velana	Variospora velana,
Caloplaca verruculifera	Polycauliona verruculifera
Caloplaca vicaria	C. kamczatica,
Caloplaca vitellinula	Athallia vitellinula
Caloplaca xanthostigmoidea	Gyalolechia xanthostigmoidea
Candelaria aurella	Candelariella aurella
Candelaria concolor	C. concolor
Candelaria vitellina	Candelariella vitellina
Candelariella epixantha	C. aurella
Candelariella crenulata	C. arctica,
Carbonea intrusa	Scoliciosporum intrusum
Catapyrenium michelii	Placidium michelii
Catapyrenium squamulosum	Placidium squamulosum
Catapyrenium tuckermanii	Placidium arboreum
Catillaria atropurpurea	Catinaria atropurpurea
Catillaria endochroma	Catillochroma endochroma,
Catillaria globulosa	Myrionora globulosa
Catillaria griffithii	Cliostomum griffithii
Catillaria grossa	Megalaria grossa
Catillaria heerii	Scutula heerii
Catillaria intermixta	Megalaria laureri
Catillaria laureri	Megalaria laureri
Catillaria micrococca	Micarea micrococca
Catillaria prasina	Micarea prasina
Catillaria superflua	?Megalaria grossa
Catillaria tricolor	Cliostomum griffithii
Catinaria laureri	Megalaria laureri
Catinaria leucoplaca	Megalaria grossa
Celidium stictarum	Plectocarpon lichenum
Cetraria aleurites	Imshaugia aleurites
Cetraria aleurites	Imshaugia placorodia
Cetraria americana	Tuckermannopsis americana
Cetraria atlantica	Platismatia tuckermanii
Cetraria aurescens	Ahtiana aurescens
Cetraria chicitae	Cetrelia chicitae
Cetraria ciliaris	Tuckermannopsis ciliaris
Cetraria ciliaris	Tuckermannopsis americana
Cetraria columbiana	C. arenaria
Cetraria commixta	Cetrariella commixta,
Cetraria crispa	C. ericetorum
Cetraria cucullata	Flavocetraria cucullata
Cetraria culbersonii	Melanelia culbersonii
Cetraria delisei	Cetrariella delisei
Cetraria fahlunensis	Cetrariella commixta,
Cetraria fendleri	Tuckermanella fendleri
Cetraria glauca	Platismatia glauca
Cetraria halei	Tuckermannopsis americana
Cetraria hepatizon	Melanelia hepatizon
Cetraria hiascens	Cetrariella delisei
Cetraria islandica	Cetrariella delisei
Cetraria juniperina	old N.E.
Cetraria juniperina	Vulpicida pinastri
Cetraria lacunosa	Platismatia lacunosa,
Cetraria lacunosa	Platismatia tuckermanii
Cetraria nivalis	Flavocetraria nivalis
Cetraria oakesiana	Usnocetraria oakesiana
Cetraria orbata	Tuckermannopsis orbata
Cetraria pinastri	Vulpicida pinastri
Cetraria placorodia	Imshaugia placorodia
Cetraria platyphylla	Tuckermannopsis platyphylla,
Cetraria sepincola	Tuckermannopsis sepincola
Cetraria stenophylla	Platismatia stenophylla,
Cetraria tenuifolia	Cetraria ericetorum
Cetraria tenuifolia	C.arenaria (Kärnefelt
Cetraria tuckermanii	Platismatia tuckermanii
Cetraria viridis	Vulpicida viridis
Chaenotheca balsamconensis	Chaenotheca obscura
Chaenotheca carthusiae	C. chlorella
Chaenotheca schaereri	C. cinerea
Chaenothecopsis lignicola	C. pusiola
Cladina alpestris	Cladonia stellaris
Cladina arbuscula	Cladonia arbuscula
Cladina ciliata	Cladonia ciliata,
Cladina impexa	Cladonia portentosa,
Cladina mitis	Cladonia mitis
Cladina rangiferina	Cladonia rangiferina
Cladina stellaris	Cladonia stellaris
Cladina stygia	Cladonia stygia
Cladina submitis	Cladonia submitis
Cladina subtenuis	Cladonia subtenuis
Cladina tenuis	Cladonia ciliata
Cladina terrae-novae	Cladonia terrae-novae
Cladonia accuminata	C. acuminata
Cladonia alcicornis	Cladonia foliacea,
Cladonia alpestris	C. stellaris
Cladonia alpicola	C. macrophylla,
Cladonia anomaea	C. ramulosa
Cladonia arbuscula	C. arbuscula
Cladonia atlantica	C. beaumontii
Cladonia bacillaris	C. macilenta
Cladonia balfourii	C. macilenta
Cladonia biuncialis	C. uncialis
Cladonia blakei	C. coccifera
Cladonia calycantha	C. rappii
Cladonia capitata	C. peziziformis
Cladonia carassensis	C. crispata
Cladonia carneola	C. cyanipes
Cladonia cervicornis	C. verticillata
Cladonia cetrarioides	C. leporina
Cladonia clavulifera	C. sobolescens
Cladonia coccifera	C. pleurota
Cladonia coniocraea	C. ochrochlora
Cladonia conistea	C. humilis,
Cladonia convoluta	C. foliacea,
Cladonia cornucopioides	C. coccifera
Cladonia cornutoradiata	C. subulata
Cladonia cristatella	C. incrassata
Cladonia daytoniana	C. floridana
Cladonia degenerans	C. phyllophora
Cladonia delicata	C. parasitica
Cladonia denticollis	C. squamosa
Cladonia despreauxii	C. cyanipes
Cladonia elongata	C. gracilis
Cladonia exasperatula	C. beaumontii
Cladonia fimbriata	C. coniocraea
Cladonia fimbriata	C. ochrochlora
Cladonia fimbriata	C. subulata
Cladonia furcata	C. crispata
Cladonia furcata	C. furcata
Cladonia furcata	C. scabriuscula
Cladonia furcata	C. furcata
Cladonia furcata	C. scabriuscula
Cladonia gonecha	C. sulphurina
Cladonia gracilescens	C. stricta
Cladonia gracilis	C. gracilis
Cladonia gracilis	C. gracilis
Cladonia gracilis	C. gracilis
Cladonia gracilis	C. gracilis
Cladonia gracilis	C. verticillata
Cladonia herrei	C. furcata
Cladonia hungarica	C. subcariosa
Cladonia impexa	C. portentosa
Cladonia invisa	C. ochrochlora
Cladonia innominata	C. conista
Cladonia japonica	C. crispata
Cladonia lepidota	C. trassii,
Cladonia leptophylla	C. peziziformis
Cladonia macroptera	C. scabriuscula
Cladonia major	C. fimbriata
Cladonia metacorallifera	C. straminea
Cladonia microphylliza	C. beaumontii
Cladonia mitrula	C. peziziformis
Cladonia nemoxyna	C. rei
Cladonia norrlinii	C. acuminata
Cladonia palamaea	C. furcata
Cladonia paludicola	C. incrassata
Cladonia papillaria	Pycnothelia papillaria
Cladonia pityrea	C. ramulosa
Cladonia polycarpia	C. subcariosa
Cladonia polycarpoides	C. subcariosa
Cladonia pseudorangiformis	C. wainioi
Cladonia pyxidata	Cladonia chlorophaea
Cladonia pyxidata	Cladonia pocillum
Cladonia rangiferina	Cladonia stellaris
Cladonia rangiferina	Cladonia portentosa
Cladonia rangiferina	C. stygia
Cladonia reticulata	C. boryi
Cladonia santensis	C. beaumontii
Cladonia scabriuscula	C. farinacea
Cladonia squarrosa	C. sylvatica
Cladonia subapodocarpa	Cladonia petrophila
Cladonia subcrispata	C. multiformis
Cladonia subrangiformis	C. furcata
Cladonia subsquamosa	C. squamosa
Cladonia sylvatica	C. arbuscula
Cladonia tenuis	C. ciliata
Coccocarpia cronia	C. palmicola
Coelocaulon aculeatum	Cetraria aculeata
Coelocaulon divergens	Bryocaulon divergens
Coelocaulon muricatum	Cetraria muricata
Collema bachmanianum	Enchylium bachmanianum
Collema conglomeratum	Enchylium conglomeratum
Collema cristatellum	Enchylium tenax
Collema cristatum	Lathagrium cristatum,
Collema cyrtaspis	Enchylium conglomeratum
Collema fragrans	Scytinium fragrans
Collema furvum	Lathagrium fuscovirens
Collema fuscovirens	Lathagrium fuscovirens
Collema glaucescens	Enchylium limosum
Collema limosum	Enchylium limosum
Collema kauaiense	Scytinium kauaiense
Collema leucopeplum	C. pulchellum
Collema melaenum	Lathagrium cristatum,
Collema microphyllum	Scytinium fragrans
Collema microptychium	C. leptaleum,
Collema myriococcum	Lempholemma polyanthes
Collema nigrescens	Collema pulchellum
Collema occultatum	Rostania occultata
Collema polycarpon	Enchylium polycarpon
Collema pulposum	Enchylium tenax
Collema pycnocarpum	Enchylium conglomeratum
Collema quadratum	C. occultatum
Collema rupestre	Collema flaccidum
Collema subfurvum	C. subflaccidum
Collema tenax	Enchylium tenax
Collema tuniforme	Lathagrium fuscovirens
Collema undulatum	Lathagrium undulatum
Collema verruciforme	C. occultatum
Collemodes bachmanianum	Enchylium bachmanianum
Coniocybe furfuracea	Chaenotheca furfuracea
Coniocybe gracilescens	Chaenotheca chrysocephala
Coniocybe gracillima	Chaenotheca gracillima
Coniocybe pallida	Sclerophora nivea
Coniocybe nivea	Sclerophora nivea
Conotrema urceolatum	Stictis urceolatum
Coriscium viride	Lichenomphalia hudsoniana
Cornicularia aculeata	Cetraria aculeata
Cornicularia divergens	Bryocaulon divergens
Cornicularia tenuissima	Cetraria aculeata
Cornutispora pyramidalis	Spirographa pyramidalis
Crocynia aliciae	Lepraria finkii
Crocynia lanuginosa	Lepraria membranacea
Crocynia membranacea	Lepraria membranacea
Crocynia neglecta	Lepraria neglecta
Crocynia zonata	Lepraria zonata
Cryptodiscus rhopaloides	Karstenia rhopaloides,
Cyanisticta epiflavoides	Pseudocyphellaria epiflavoides
Cybebe gracilenta	Chaenotheca gracilenta
Cyphelium lucidum	Calicium lucidum
Cyphelium sessile	Acolium sessile
Cyphelium tigillare	Calicium tigillare
Cyphelium turbinatum	Sphinctrina turbinata
Cyrtidula americana	Tomasellia americana
Cyrtidula macularis	Tomasellia macularis
Cyrtidula mulleri	Skyttella mulleri
Cystobasidium hypogymniicola	Cyphobasidium hypogymniicola
Cystocoleus rupestris	Racodium rupestre
DACTYLOSPORA Körb.	SCLEROCOCCUM 
Dactylospora athallina	Sclerococcum athallinum
Dactylospora attendenda	Sclerococcum attendendum
Dactylospora glaucomarioides	Sclerococcum glaucomarioides
Dactylospora lobariella	Sclerococcum lobariellum
Dactylospora lurida	Sclerococcum luridum,
Dactylospora parasitica	Sclerococcum parasiticum
Dactylospora pertusariicola	Sclerococcum pertusariicola
Dactylospora stygia	Sclerococcum suburceolatum
Degelia plumbea	Pectenia plumbea
Dermatocarpon americanum	D. muhlenbergii
Dermatocarpon aquaticum	D. luridum
Dermatocarpon arboreum	Placidium arboreum
Dermatocarpon cinereum	Catapyrenium cinereum
Dermatocarpon fluviatile	D. luridum
Dermatocarpon hepaticum	Placidium squamulosum
Dermatocarpon hepaticum	Catapyrenium cinereum
Dermatocarpon leptophyllum	D. miniatum
Dermatocarpon miniatum	D. miniatum
Dermatocarpon rufescens	Placidium rufescens,
Dermatocarpon tuckermanii	Placidium arboreum
Dibaeis rosea	D. baeomyces
Dimelaena chrysomelaena	Rinodina chrysomelaena
Dimerella diluta	Coenogonium pineti
Dimerella lutea	Coenogonium luteum
Dimerella pineti	Coenogonium pineti
Diploschistes bryophilus	D. muscorum
Diploschistes scruposus	D. muscorum
Diplotomma epipolium	D. venustum
Ditremis biformis	Anisomeridium biforme
Ditremis carinthiaca	Anisomeridium carinthiacum
Ditremis distans	Anisomeridium distans
Ditremis nyssigena	Anisomeridium polypori
Endocarpiscum guepinii	Peltula euploca,
Endocarpon arboreum	Placidium arboreum
