Abrothallus 	cetrariae 
Endocarpon cinereum	Catapyrenium cinereum
Endocarpon complicatum	Dermatocarpon miniatum
Endocarpon diffractellum	Willeya diffractella
Endocarpon fluviatile	Dermatocarpon luridum
Endocarpon miniatum	Dermatocarpon miniatum
Endocarpon miniatum	Dermatocarpon luridum
Endocarpon miniatum	Dermatocarpon miniatum
Endocarpon moenium	Acarospora moenium
Endocarpon pulvinatum	Staurothele pulvinata
Endocarpon pusillum	E. pusillum
Ephebe pubescens	Ephebe lanata
Epicoccum purpurascens	E. nigrum
Evernia ceratea	Pseudevernia furfuracea,
Evernia furfuracea	Pseudevernia consocians
Evernia furfuracea	Pseudevernia cladonia
Everniastrum catawbiense	Hypotrachyna catawbiensis
Everniastrum sorocheilum	Hypotrachyna sorocheila,
Fistulariella dilacerata	Ramalina dilacerata
Fistulariella geniculata	Ramalina geniculata,
Fistulariella inflata	Ramalina inflata,
Fistulariella minuscula	Ramalina dilacerata
Fistulariella roesleri	Ramalina roesleri
Fuscidea arcuatula	F. recensa
Fuscidea placidensis	Lecanora placidensis
Fuscidea subreagens	Fuscidea scrupulosa
Fuscopannaria hookerioides	Vahliella hookerioides
Fuscopannaria leucophaea	Vahliella leucophaea
Gasparrinia elegans	Rusavskia elegans
Gassicurtia elizae	Buellia elizae
Gassicurtia vernicoma	Buellia vernicoma
Glaucomaria rupicola	Lecanora rupicola
Gonohymenia melamphylla	Lichinella melamphylla
Graphis afzelii	Dyplolabia afzelii,
Graphis dendritica	Phaeographis dendritica
Graphis dendritica	Phaeographis inusta
Graphis scripta	Graphis scripta
Graphis scripta	Graphis scripta
Gyalecta ceratina	G. fagicola
Gyalecta corticola	G. fagicola
Gyalecta cupularis	G. jenensis
Gyalecta geoica	Absconditella trivialis
Gyalecta lutea	Coenogonium luteum
Gyalecta odora	Ionaspis odora
Gyalecta pallida	Cryptodiscus pallidus
Gyalecta pineti	Coenogonium pineti
Gyalecta radiatilis	Skyttea radiatilis
Gyrophora angulata	Umbilicaria angulata,
Gyrophora arctica	Umbilicaria arctica,
Gyrophora cylindrica	Umbilicaria cylindrica
Gyrophora deusta	Umbilicaria deusta
Gyrophora dillenii	Umbilicaria mammulata
Gyrophora erosa	Umbilicaria torrefacta
Gyrophora flocculosa	Umbilicaria deusta
Gyrophora grisea	Umbilicaria grisea
Gyrophora hirsuta	Umbilicaria hirsuta
Gyrophora hyperborea	Umbilicaria hyperborea
Gyrophora muhlenbergii	Umbilicaria muhlenbergii
Gyrophora phaea	Umbilicaria phaea,
Gyrophora polyphylla	Umbilicaria polyphylla
Gyrophora polyrhiza	Umbilicaria polyrhiza
Gyrophora proboscidea	Umbilicaria proboscidea
Gyrophora torrefacta	Umbilicaria torrefacta
Gyrophora vellea	Umbilicaria vellea,
Haematomma cismonicum	Loxospora cismonica
Haematomma elatinum	Loxospora elatina
Haematomma ochrophaeum	Loxospora ochrophaea
Haematomma pustulatum	Lepra pustulata
Haematomma ventosum	Ophioparma ventosa
Hafellia arnoldii	Buellia arnoldii
Hafellia disciformis	Buellia disciformis
Hafellia subnexa	Buellia subnexa
Heppia guepinii	Peltula euploca
Heterodermia leucomelaena	H. leucomela
Heterodermia tremulans	H. speciosa
Heterothecium grossum	Megalaria grossa
Heterothecium pezizoideum	Lopadium pezizoideum,
Heterothecium porphyrites	Megalospora porphyritis
Heterothecium sanguinarium	Mycoblastus sanguinarius,
Heterothecium tuberculosum	Megalospora tuberculosa,
Huilia albocaerulescens	Porpidia albocaerulescens
Huilia macrocarpa	Porpidia macrocarpa
HYDROTHYRIA J.L.Russell	PELTIGERA 
Hydrothyria fontana	Peltigera hydrothyria
Hydrothyria venosa	Peltigera hydrothyria
Hymenelia lacustris	Ionaspis lacustris
Hymenelia ochrolemma	Porpidia ochrolemma
Hypocenomyce anthracophila	Carbonicola anthracophila
Hypocenomyce friesii	Xylopsora friesii
Hypogymnia atrofusca	Brodoa atrofusca,
Illosporium carneum	I. roseum
Illosporium corallinum	Marchandiomyces corallinus
Ionaspis epulotica	Hymenelia epulotica
Laeviomyces pertusariicola	Lichenodiplis pertusariicola
Lecanactis chloroconia	Cresponea chloroconia
Lecanactis homalotropa	Bactrospora homalotropa,
Lecanactis premnea	Cresponea premnea,
Lecanactis premnea	Cresponea chloroconia
Lecania croatica	Coppinsidea croatica
Lecania dimera	L. dubitans
Lecania dubitans	Lecaniella dubitans
Lecania erysibe	Lecaniella erysibe
Lecania naegelii	Lecaniella naegelii
Lecania pepegospora	Halecania pepegospora
Lecania syringea	L. fuscella
Lecanora albescens	Myriolecis albescens
Lecanora atra	Tephromela atra
Lecanora atriseda	Protoparmelia atriseda
Lecanora atrynea	L. cenisia
Lecanora badia	Protoparmelia badia
Lecanora bockii	Rimularia badioatra
Lecanora brujeriana	Ainoa mooreana,
Lecanora caesiocinerea	Circinaria caesiocinerea
Lecanora caesiorubella	L. protervula
Lecanora caesiorubella	L. protervula
Lecanora cancriformis	L. caesiorubella
Lecanora cervina	Acarospora cervina,
Lecanora chlarona	L. pulicaris
Lecanora chlarona	L. chlarotera
Lecanora cinerea	Aspicilia cinerea
Lecanora cinerea	Aspicilia laevata
Lecanora coilocarpa	L. pulicaris
Lecanora conizaea	L. strobilina
Lecanora conizaea	L. expallens
Lecanora contractula	Myriolecis contractula
Lecanora crenulata	Myriolecis crenulata
Lecanora degelii	L. cinereofusca
Lecanora demissa	Caloplaca demissa
Lecanora deplanans	Ionaspis lacustris
Lecanora dimera	Lecania dubitans
Lecanora dispersa	Myriolecis dispersa
Lecanora elatina	Loxospora elatina
Lecanora elatina	Loxospora ochrophaea
Lecanora epulotica	Hymenelia epulotica
Lecanora filamentosa	Palicella filamentosa
Lecanora flotoviana	Myriolecis semipallida
Lecanora frustulosa	L. argopholis
Lecanora fugiens	Myriolecis fugiens
Lecanora fuliginosa	L. argentea
Lecanora fuscata	Acarospora fuscata
Lecanora fuscata	Myriospora smaragdula
Lecanora fuscidula	L. minutella
Lecanora galactina	Myriolecis albescens
Lecanora gelida	Placopsis gelida
Lecanora gibbosa	Circinaria gibbosa,
Lecanora gibbosula	Circinaria gibbosa,
Lecanora glaucocarpa	Acarospora glaucocarpa,
Lecanora glaucoma	L. rupicola
Lecanora granatina	Euopsis granatina
Lecanora grantii	L. xylophila
Lecanora hagenii	Myriolecis hagenii
Lecanora hagenii	Myriolecis sambuci
Lecanora lacustris	Ionaspis lacustris
Lecanora laevata	Aspicilia laevata
Lecanora molybdina	Acarospora molybdina
Lecanora muralis	Protoparmeliopsis muralis
Lecanora mutabilis	L. intricata
Lecanora nephaea	Protoparmelia nephaea
Lecanora ochrophaea	Loxospora ochrophaea
Lecanora odora	Ionaspis odora
Lecanora opiniconensis	Rhizoplaca opiniconensis
Lecanora pallescens	Ochrolechia pallescens
Lecanora pallescens	Ochrolechia pallescens
Lecanora pallida	L. albella
Lecanora pallida	L. albella
Lecanora pallida	Lecanora caesiorubella
Lecanora pallida	L. albella
Lecanora phaedrophthalma	Rhizoplaca phaedrophthalma
Lecanora pinastri	L. pulicaris
Lecanora piniperda	L. albellula
Lecanora privigna	Acarospora privigna
Lecanora privigna	Sarcogyne clavus
Lecanora pseudochlarotera	L. hybocarpa
Lecanora ramulicola	Palicella filamentosa
Lecanora riparia	L. xylophila
Lecanora rubina	Rhizoplaca chrysoleuca,
Lecanora rugosa	L. chlarotera
Lecanora rugosella	L. chlarotera
Lecanora salina	Myriolecis salina
Lecanora sambuci	Myriolecis sambuci
Lecanora sapinea	Trapeliopsis granulosa
Lecanora saxicola	Protoparmeliopsis muralis
Lecanora schofieldii	Myriolecis schofieldii
Lecanora semipallida	Myriolecis semipallida
Lecanora semitensis	Protoparmeliopsis muralis
Lecanora smaragdula	Myriospora smaragdula
Lecanora sordida	L. rupicola
Lecanora speirea	Porpidia speirea
Lecanora spodophaeoides	L. campestris,
Lecanora steriza	Porpidia macrocarpa
Lecanora straminea	Myriolecis straminea
Lecanora subdiscrepans	Rhizoplaca subdiscrepans
Lecanora subepulotica	Lecanora epulotica
Lecanora subfusca	L. allophana,
Lecanora subfusca	L. allophana
Lecanora subfusca	L. argentata
Lecanora subfusca	L. campestris,
Lecanora subfusca	L. pulicaris
Lecanora subfusca	L. populicola
Lecanora subfusca	L. horiza,
Lecanora subfusca	L. horiza,
Lecanora subfuscata	L. argentata
Lecanora subpallida	L. subpallens
Lecanora subpallens	L. protervula
Lecanora subsimplex	Porpidia subsimplex
Lecanora sylvicola	Brianaria sylvicola
Lecanora symmictera	Lecanora symmicta
Lecanora tartarea	Ochrolechia tartarea
Lecanora tartarea	Ochrolechia frigida
Lecanora templetonii	Bryobilimbia hypnorum
Lecanora tenebrosa	Schaereria fuscocinerea
Lecanora tesselina	L. oreinoides
Lecanora uliginosa	Placynthiella uliginosa
Lecanora umbrina	L. hagenii
Lecanora varia	L.expallens 
Lecanora varia	L. intricata
Lecanora ventosa	Ophioparma ventosa
Lecanora verrucigera	Aspicilia verrucigera
Lecanora verrucosa	Megaspora verrucosa
Lecanora verrucosa	Megaspora verrucosa
Lecanora zosterae	Myriolecis zosterae
Lecanora zosterae	Myriolecis behringii
Lecidea acclinis	Toninia populorum
Lecidea aeruginosa	Trapeliopsis flexuosa
Lecidea aglaea	Calvitimela aglaea
Lecidea ahlesii	Bryobilimbia ahlesii
Lecidea aitema	Lecanora aitema,
Lecidea albidula	Myrionora albidula
Lecidea alboatra	Diplotomma alboatrum
Lecidea albocaerulescens	Porpidia albocaerulescens
Lecidea albohyalina	Diplotomma alboatrum
Lecidea albocaerulescens	Porpidia flavicunda
Lecidea anthracophila	Carbonicola anthracophila
Lecidea appalachensis	Biatora appalachensis?
Lecidea arctica	Frutidella caesioatra
Lecidea arcuatula	Fuscidea recensa
Lecidea athroocarpa	Immersaria athroocarpa
Lecidea atrocinerea	Rinodina atrocinerea
Lecidea atrofusca	Bryobilimbia hypnorum
Lecidea atrorufa	Lecidoma demissum
Lecidea bockii	Rimularia badioatra
Lecidea botryosa	Hertelidea botryosa
Lecidea caeca	Lambiella caeca
Lecidea caesioatra	Frutidella caesioatra
Lecidea caudata	Ropalospora lugubris
Lecidea chalybeiza	Leimonis erratica
Lecidea chlorosticta	Micarea chlorosticta
Lecidea cinereoatra	Porpidia cinereoatra
Lecidea coarctata	Trapelia coarctata
Lecidea contigua	Porpidia macrocarpa,
Lecidea contigua	Porpidia hydrophila
Lecidea crustulata	Porpidia crustulata
Lecidea cyanea	L. tessellata
Lecidea decipiens	Psora decipiens
Lecidea delincta	Bryobilimbia ahlesii
Lecidea demissa	Lecidoma demissum
Lecidea deparcula	Cecidonia xenophana
Lecidea diapensiae	Bryobilimbia diapensiae
Lecidea difformis	Sarea difformis
Lecidea dolosa	Catillaria lenticularis
Lecidea elabens	Ramboldia elabens
Lecidea elata	Lecanora marginata
Lecidea enteroleuca	Melaspilea enteroleuca
Lecidea enteroleuca	Lecidella wulfenii
Lecidea enteromorpha	L. plana
Lecidea epiiodiza	Schaereria fuscocinerea
Lecidea epixanthoidiza	Biatora efflorescens
Lecidea erratica	Leimonis erratica
Lecidea eupetraea	Rhizocarpon eupetraeum
Lecidea euphorea	Lecidella euphorea
Lecidea evansii	Lecidella carpathica
Lecidea flavocaerulescens	Porpidia flavicunda
Lecidea flavovirescens	Arthrorhaphis citrinella
Lecidea flexuosa	Trapeliopsis flexuosa
Lecidea friesii	Xylopsora friesii
Lecidea furvella	Lambiella furvella
Lecidea fusca	Bryobilimbia hypnorum
Lecidea fuscescens	Lecanora fuscescens
Lecidea fuscocinerea	Schaereria fuscocinerea
Lecidea gelatinosa	Trapeliopsis gelatinosa
Lecidea geographica	Rhizocarpon geographicum
Lecidea geophana	Steinia geophana
Lecidea glauconigrans	Catillaria glauconigrans
Lecidea goniophila	Lecidella anomaloides
Lecidea granulata	Lecidella granulata
Lecidea granulosa	Trapeliopsis granulosa
Lecidea gregaria	Trapelia glebulosa
Lecidea gyalizella	Gyalecta gyalizella
Lecidea heerii	Scutula heerii
Lecidea helvola	Biatora helvola
Lecidea homalodes	L. tessellata
Lecidea hypnorum	Bryobilimbia hypnorum
Lecidea lapicida	L. lactea
Lecidea laureri	Megalaria laureri
Lecidea lowensis	Fuscidea lowensis
Lecidea lucida	Psilolechia lucida
Lecidea lacustris	Ionaspis lacustris
Lecidea lugubris	Ropalospora lugubris
Lecidea macrocarpa	Porpidia macrocarpa
Lecidea melancheima	Ramboldia elabens
Lecidea milliaria	Micarea lignaria
Lecidea mixta	Cliostomum griffithii
Lecidea mollis	Fuscidea mollis,
Lecidea mundula	Lecanora oreinoides
Lecidea neglecta	Lepraria neglecta
Lecidea ochracea	Clauzadea monticola
Lecidea ostreata	Hypocenomyce scalaris
Lecidea panaeola	Amygdalaria panaeola
Lecidea parasema	Lecidella elaeochroma
Lecidea parasema	Lecidella elaeochroma
Lecidea parasema	Lecidella wulfenii
Lecidea platycarpa	Porpidia macrocarpa
Lecidea polycarpa	L. lapicida
Lecidea prasinula	Lecidella scabra
Lecidea punctella	Micarea rhabdogena
Lecidea pungens	L. goniophila
Lecidea pycnocarpa	Miriquidica pycnocarpa
Lecidea quadricolor	Trapeliopsis granulosa
Lecidea rivulosa	Fuscidea cyathoides,
Lecidea russellii	Psora russellii,
Lecidea russula	Ramboldia russula
Lecidea sanguinaria	Mycoblastus sanguinarius
Lecidea sanguineoatra	Bryobilimbia hypnorum,
Lecidea sordidescens	Micarea prasina
Lecidea sorediza	Porpidia tuberculosa
Lecidea spadicea	Bacidia polychroa
Lecidea speirea	Porpidia speirea,
Lecidea steriza	Porpidia macrocarpa
Lecidea subsimplex	Porpidia subsimplex
Lecidea sylvicola	Brianaria sylvicola
Lecidea symmicta	Lecanora symmicta
Lecidea templetonii	Bryobilimbia hypnorum
Lecidea tenebrosa	Schaereria fuscocinerea
Lecidea tesselina	Lecanora oreinoides
Lecidea tornoënsis	Japewia tornoënsis
Lecidea trachona	Bacidia trachona
Lecidea turgescens	Buellia turgescens
Lecidea uliginosa	Placynthiella uliginosa
Lecidea uliginosa	Placynthiella icmalea
Lecidea vernalis	Biatora vernalis
Lecidea virginiensis	Bryobilimbia ahlesii
Lecidea verruculosa	Buellia ocellata
Lecidea viridescens	Trapeliopsis viridescens
Leciographa glaucomaria	Phacographa glaucomaria,
Leciographa glaucomarioidea	Sclerococcum glaucomarioides
Leciographa pertusariicola	Sclerococcum pertusariicola
Lepraria borealis	L. neglecta
Lepraria cacuminum	L. neglecta
Lepraria caesioalba	L. neglecta
Lepraria lesdainii	Botryolepraria lesdainii
Lepraria lobificans	L. finkii;
Lepraria moroziana	Andreiomyces morozianus
Lepraria salazinica	L. elobata
Lepraria zonata	L. neglecta
Leprocaulon gracilescens	Lepraria gracilescens,
LEPROLOMA Nyl.	LEPRARIA 
Leproloma membranaceum	Lepraria membranacea
Leptogium americanum	L. laceroides
Leptogium bolacinum	Ricasolia amplissima
Leptogium caesium	L. cyanescens
Leptogium crenatellum	L. rivulare
Leptogium gelatinosum	Scytinium gelatinosum
Leptogium imbricatum	Scytinium imbricatum
Leptogium intricatulum	Scytinium teretiusculum
Leptogium juniperinum	Scytinium juniperinum
Leptogium lacerum	Scytinium lichenoides
Leptogium lacerum	Scytinium pulvinata
Leptogium lacerum	Scytinium pulvinatum
Leptogium lichenoides	Scytinium lichenoides
Leptogium lichenoides	Scytinium pulvinatum
Leptogium microphyllum	Scytinium fragrans
Leptogium muscicola	Polychidium muscicola
Leptogium myochroum	Leptogium saturninum,
Leptogium pulchellum	Collema pulchellum
Leptogium pulvinatum	Scytinium pulvinatum
Leptogium scotinum	Scytinium gelatinosum
Leptogium sinuatum	Scytinium gelatinosum
Leptogium tenuissimum	Scytinium tenuissimum
Leptogium teretiusculum	Scytinium teretiusculum
Leptogium tremelloides	L. cyanescens
Lettauia cladoniicola	Cryptodiscus cladoniicola
Lobaria amplissima	Ricasolia amplissima,
Lobaria laetevirens	Ricasolia virens
Lobaria quercizans	Ricasolia quercizans
Lobaria verrucosa	Lobaria scrobiculata
Lobaria virens	Ricasolia virens,
Loxospora pustulata	Lepra pustulata
Melanelia commixta	Cetrariella commixta,
Melanelia conspurcata	Melanelixia subargentifera
Melanelia disjuncta	Montanelia disjuncta
Melanelia exasperata	Melanohalea exasperata
Melanelia exasperatula	Melanohalea exasperatula
Melanelia fuliginosa	Melanelixia fuliginosa,
Melanelia glabratula	Melanelixia glabratula
Melanelia halei	Melanohalea halei
Melanelia infumata	Melanohalea infumata
Melanelia olivacea	Melanohalea olivacea
Melanelia panniformis	Montanelia panniformis
Melanelia septentrionalis	Melanohalea septentrionalis
Melanelia sorediata	Montanelia sorediata
Melanelia sorediosa	Montanelia sorediata
Melanelia subargentifera	Melanelixia subargentifera
Melanelia subaurifera	Melanelixia subaurifera
Melanelia trabeculata	Melanohalea trabeculata
Melanophloea americana	Trimmatothelopsis americana
Melaspilea arthonioides	M. urceolata
Melaspilea deformis	Hazslinszkya gibberulosa,
Melaspilea proximella	Melaspileella proximella
Menegazzia pertusa	M. terebrata,
Micarea bauschiana	Brianaria bauschiana
Micarea crassipes	Helocarpon crassipes
Micarea erratica	Leimonis erratica
Micarea gelatinosa	Trapelia gelatinosa
Micarea lutulata	Brianaria lutulata
Micarea minuscula	Bacidia beckhausii
Micarea sylvicola	Brianaria sylvicola
Micarea trisepta	M. peliocarpa
Micarea viridescens	Trapeliopsis viridescens
Microphiale diluta	Coenogonium pineti
Microphiale lutea	Coenogonium luteum
Microthelia aterrima	Lichenothelia scopularia
Microthelia betulina	Mycomicrothelia wallrothii
Microthelia inops	Kirschsteiniothelia aethiops
Microthelia micula	Kirschsteiniothelia aethiops
Microthelia oblongata	Mycomicrothelia wallrothii
Microthelia thelena	Mycomicrothelia thelena,
Microthelia wallrothii	Mycomicrothelia wallrothii
Mycobilimbia hypnorum	Bryobilimbia hypnorum
Mycobilimbia microcarpa	Bilimbia microcarpa,
Mycobilimbia sabuletorum	Bilimbia sabuletorum
Mycoblastus fucatus	Violella fucata
Mycocalicium parietinum	M. subtile
Mycomicrothelia thelena	Bogoriella thelena,
Mycoporellum difforme	Mycoporum lacteum
Mycoporum difforme	Mycoporellum difforme
Mycoporum pycnocarpum	M. compositum
Myriolecis zosterae	Myriolecis behringii
Myriospora heppii	Caeruleum heppii
Myriospora immersa	Caeruleum immersu
Myxobilimbia accedens	Bilimbia accedens
Myxobilimbia sabuletorum	Bilimbia sabuletorum
Nectria rubefaciens	Trichonectria rubefaciens
Nectriella anisospora	Trichonectria anisospora
Nectriopsis parmeliae	Ovicuculispora parmeliae
Nectriopsis rubefaciens	Trichonectria rubefaciens
Nephroma lusitanicum	N. laevigatum
Nephroma sipeanum	N. helveticum
Nephroma tomentosum	Nephroma resupinatum
Nephromopsis americana	Tuckermannopsis americana
Nephromopsis ciliaris	Tuckermannopsis ciliaris
Nephromopsis cucullata	Flavocetraria cucullata
Nephromopsis culbersonii	Melanelia culbersonii
Nephromopsis fendleri	Tuckermanella fendleri
Nephromopsis nivalis	Flavocetraria nivalis
Nephromopsis orbata	Tuckermannopsis orbata
Normandina jungermanniae	Normandina pulchella
Normandina laetevirens	Lichenomphalia hudsoniana
Ocellularia subtilis	Thelotrema subtile
Ochrolechia geminipara	Toensbergia geminipara
Ochrolechia pallescens	Ochrolechia trochophora
Ochrolechia pterulina	O. frigida
Ochrolechia rosella	O. trochophora
Ochrolechia serpentina	Graphis scripta
Ochrolechia stictica	Lecanographa lyncea,
Ochrolechia tuckermanii	O. yasudae
Ochrolechia verrucosa	O. africana
Omphalaria phyllisca	Phylliscum demangeonii
Omphalina ericetorum	Lichenomphalia umbellifera
Omphalina hudsoniana	Lichenomphalia hudsoniana
Omphalina umbellifera	Lichenomphalia umbellifera
Opegrapha atra	Arthonia atra
Opegrapha demissa	Melaspilea demissa
Opegrapha diaphora	Alyxoria varia
Opegrapha gyrocarpa	Gyrographa gyrocarpa
Opegrapha lentiginosula	Melaspilea lentiginosula
Opegrapha lichenoides	Alyxoria varia
Opegrapha pulicaris	Alyxoria varia
Opegrapha quaternella	O. anomea
Opegrapha recta	Graphis scripta
Opegrapha rufescens	Pseudoschismatomma rufescens
Opegrapha serpentina	Graphis scripta
Opegrapha varia	Alyxoria varia
Opegrapha viridis	Zwackhia viridis
Opegrapha zonata	Enterographa zonata
Orphniospora atrata	O. moriopsis
Orphniospora coracina	O. moriopsis
Oxneria fallax	Xanthomendoza fallax
Pachyospora mutabilis	Megaspora verrucosa
Pachyospora verrucosa	Megaspora verrucosa
Pachyphiale carneola	Gyalecta carneola,
Pachyphiale fagicola	Gyalecta fagicola
Pachyphiale geoicoides	Cryptolechia geoicoides,
Pachyphiale gyalizella	Gyalecta gyalizella
Pannaria ahlneri	Fuscopannaria ahlneri
Pannaria brunnea	Protopannaria pezizoides
Pannaria crossophylla	Rockefellera crossophylla
Pannaria flabellosa	Placynthium flabellosum
Pannaria granatina	Euopsis granatina
Pannaria hypnorum	Psoroma hypnorum
Pannaria lanuginosa	Lepraria membranacea,
Pannaria leucophaea	Vahliella leucophaea
Pannaria leucosticta	Fuscopannaria leucosticta
Pannaria melamphylla	Lichinella melamphylla
Pannaria microphylla	Vahliella leucophaea
Pannaria molybdaea	Coccocarpia palmicola
Pannaria nigra	Placynthium nigrum
Pannaria pezizoides	Protopannaria pezizoides
Pannaria pityrea	P. conoplea
Pannaria triptophylla	Parmeliella triptophylla
Parmelia aipolia	Physcia aipolia
Parmelia aleurites	Imshaugia aleurites
Parmelia alpicola	Allantoparmelia alpicola,
Parmelia ambigua	Parmeliopsis ambigua
Parmelia ambigua	P. aleurites
Parmelia ambigua	Parmeliopsis ambigua
Parmelia appalachensis	Punctelia appalachensis
Parmelia arnoldii	Parmotrema arnoldii
Parmelia aspera	Melanohalea exasperata
Parmelia aspidota	Melanohalea exasperata
Parmelia atrofusca	Brodoa atrofusca,
Parmelia aurulenta	Myelochroa aurulenta
Parmelia baltimorensis	Flavoparmelia baltimorensis
Parmelia bolliana	Punctelia bolliana
Parmelia borreri	Punctelia borreri,
Parmelia borreri	Punctelia rudecta
Parmelia brunnea	Protopannaria pezizoides
Parmelia caesia	Physcia caesia
Parmelia caperata	Flavoparmelia caperata
Parmelia calicaris	Ramalina calicaris,
Parmelia catawbiensis	Hypotrachyna catawbiensis
Parmelia centrifuga	Arctoparmelia centrifuga
Parmelia cerina	Caloplaca cerina
Parmelia cervina	Acarospora glaucocarpa
Parmelia cetrarioides	Cetrelia cetrarioides,
Parmelia cetrata	Parmotrema cetratum,
Parmelia cetrata	Parmotrema reticulatum
Parmelia cetrata	Parmotrema hypotropum
Parmelia chrysophthalma	Teloschistes chrysophthalma
Parmelia cladonia	Pseudevernia cladonia
Parmelia coarctata	Trapelia coarctata
Parmelia colpodes	Anzia colpodes
Parmelia coniocarpa	Parmotrema perlatum
Parmelia conspersa	Xanthoparmelia conspersa
Parmelia conspurcata	Melanelixia subargentifera
Parmelia crinita	Parmotrema crinitum
Parmelia cronia	Coccocarpia palmicola
Parmelia cumberlandia	Xanthoparmelia cumberlandia
Parmelia detonsa	Anaptychia palmulata
Parmelia disjuncta	Montanelia disjuncta
Parmelia elegans	Xanthoria elegans
Parmelia encausta	Brodoa intestiniformis,
Parmelia enteromorpha	Hypogymnia enteromorpha,
Parmelia exasperata	Melanohalea exasperata
Parmelia exasperatula	Melanohalea exasperatula
Parmelia fahlunensis	Cetrariella commixta
Parmelia fibrosa	Candelaria fibrosa
Parmelia flaventior	Flavopunctelia flaventior
Parmelia fuliginosa	Melanelixia fuliginosa,
Parmelia fulva	Lecanora fulva
Parmelia furfuracea	Pseudevernia consocians
Parmelia galbina	Myelochroa galbina
Parmelia glabratula	Melanelixia glabratula
Parmelia glauca	Platismatia glauca
Parmelia halei	Melanohalea halei
Parmelia halseyana	Arctoparmelia centrifuga
Parmelia hyperopta	Parmeliopsis hyperopta
Parmelia hypoleuca	Heterodermia hypoleuca
Parmelia hypotropa	Parmotrema hypotropum
Parmelia hypotropoides	Parmotrema perforatum
Parmelia imitans	P. conspersa
Parmelia incurva	Arctoparmelia incurva
Parmelia laevigata	Hypotrachyna laevigata,
Parmelia lanata	Pseudephebe pubescens,
Parmelia lanata	Ephebe lanata
Parmelia livida	Hypotrachyna livida
Parmelia microphylla	Vahliella leucophaea
Parmelia murorum	Calogaya saxicola
Parmelia oculata	Pertusaria oculata
Parmelia olivacea	Melanohalea olivacea
Parmelia olivacea	Xanthoparmelia pulla,
Parmelia olivacea	Montanelia sorediata
Parmelia olivaria	Cetrelia olivetorum,
Parmelia olivetorum	Cetrelia olivetorum
Parmelia panniformis	Montanelia panniformis
Parmelia perforata	Parmotrema perforatum
Parmelia perlata	Parmotrema perlatum,
Parmelia perlata	Parmotrema perlatum
Parmelia pertusa	Menegazzia terebrata
Parmelia prolixa	Montanelia panniformis
Parmelia physodes	Hypogymnia physodes
Parmelia physodes	Hypogymnia vittata
Parmelia placorodia	Parmeliopsis placorodia
Parmelia plittii	Xanthoparmelia plittii
Parmelia prolixa	Neofuscelia pulla
Parmelia pulverulenta	Physconia distorta
Parmelia revoluta	Hypotrachyna revoluta
Parmelia rudecta	Punctelia rudecta
Parmelia russellii	Pannaria lurida
Parmelia saxatilis	Parmelia omphalodes
Parmelia saxatilis	Parmelia sulcata
Parmelia scortea	Parmelina tiliacea
Parmelia scruposa	Diploschistes scruposa
Parmelia septentrionalis	Melanohalea septentrionalis
Parmelia silvestris	Myelochroa aurulenta
Parmelia sorediata	Montanelia sorediata
Parmelia soredica	Flavopunctelia soredica
Parmelia sorediosa	Montanelia sorediata
Parmelia speciosa	Heterodermia speciosa
Parmelia stenophylla	Xanthoparmelia stenophylla
Parmelia stenophylla	Xanthoparmelia conspersa
Parmelia stellaris	Physcia stellaris
Parmelia stuppea	Parmotrema stuppeum
Parmelia stygia	Melanelia stygia
Parmelia subargentifera	Melanelixia subargentifera
Parmelia subaurifera	Melanelixia subaurifera
Parmelia subfusca	Lecanora subfusca
Parmelia sublaevigata	Hypotrachyna sublaevigata
Parmelia submarginalis	Parmotrema submarginale
Parmelia subquercifolia	Myelochroa galbina
Parmelia subrudecta	Punctelia subrudecta
Parmelia sulphurosa	Myelochroa galbina
Parmelia symmicta	Lecanora symmicta
Parmelia taractica	Xanthoparmelia taractica,
Parmelia tartarea	Ochrolechia tartarea
Parmelia tasmanica	Xanthoparmelia tasmanica,
Parmelia tiliacea	Parmelina tiliacea,
Parmelia trichotera	Parmotrema perlatum
Parmelia varia	Lecanora varia
Parmelia varia	Lecanora expallens
Parmelia ventosa	Ophioparma ventosa
Parmelia verrucosa	Lecanora verrucosa
Parmelia verruculifera	Xanthoparmelia verruculifera,
Parmelia vicinior	Parmelia quercina
Parmeliella corallinoides	Parmeliella triptophylla
Parmeliella crossophylla	Rockefellera crossophylla
Parmeliella lepidiota	Fuscopannaria praetermissa
Parmeliella microphylla	Vahliella leucophaea
Parmeliella pannosa	Pannaria pannosa,
Parmeliella plumbea	Pectenia plumbea
Parmelina aurulenta	Myelochroa aurulenta
Parmelina galbina	Myelochroa galbina
Parmelinopsis horrescens	Hypotrachyna horrescens
Parmelinopsis minarum	Hypotrachyna minarum
Parmeliopsis aleurites	Imshaugia aleurites
Parmeliopsis diffusa	P. hyperopta
Parmeliopsis placorodia	Imshaugia placorodia
Parmotrema chinense	P. perlatum
Parmotrema michauxianum	P. submarginale
PELTIDEA Ach.	PELTIGERA 
Peltidea aphthosa	Peltigera aphthosa
Peltigera aphthosa	P. leucophlebia
Peltigera canina	P. membranacea
Peltigera canina	P. praetextata
Peltigera canina	P. membranacea,
Peltigera canina	P. rufescens
Peltigera canina	P. praetextata
Peltigera canina	P. didactyla
Peltigera canina	P. canina
