Abrothallus usneae						Abrothallus.usneae
Cetraria hiascens						Cetraria.hiascens
Cetraria juniperina						Cetraria.juniperina
Cetraria lacunosa						Cetraria.lacunosa
Cetraria nivalis						Cetraria.nivalis
Cetraria oakesiana						Cetraria.oakesiana
Cetraria orbata							Cetraria.orbata
Cetraria pinastri						Cetraria.pinastri
Cetraria platyphylla						Cetraria.platyphylla
Cetraria sepincola						Cetraria.sepincola
Cetraria stenophylla						Cetraria.stenophylla
Cetraria tuckermanii						Cetraria.tuckermanii
Cetraria viridis						Cetraria.viridis
Chaenotheca balsamconensis					Chaenotheca.balsamconensis
Chaenotheca schaereri						Chaenotheca.schaereri
Chaenotheca trichialis						Chaenotheca.trichialis
Chaenothecopsis lignicola					Chaenothecopsis.lignicola
Chrysothrix flavovirens						Chrysothrix.flavovirens
Cladina arbuscula						Cladina.arbuscula
Cladina ciliata							Cladina.ciliata
Cladina portentosa						Cladina.portentosa
Cladina rangiferina						Cladina.rangiferina
Cladina stellaris						Cladina.stellaris
Cladonia acuminata						Cladonia.acuminata
Cladonia arbuscula						Cladonia.arbuscula
Cladonia bacillaris						Cladonia.bacillaris
Cladonia borbonica						Cladonia.borbonica
Cladonia carneola						Cladonia.carneola
Cladonia cenotea						Cladonia.cenotea
Cladonia cervicornis						Cladonia.cervicornis
Cladonia clavulifera						Cladonia.clavulifera
Cladonia cornucopioides						Cladonia.cornucopioides
Cladonia cristatella						Cladonia.cristatella
Cladonia degenerans						Cladonia.degenerans
Cladonia delicata						Cladonia.delicata
Cladonia diversa						Cladonia.diversa
Cladonia fimbriata						Cladonia.fimbriata
Cladonia foliacea						Cladonia.foliacea
Cladonia furcata						Cladonia.furcata
Cladonia graciliformis						Cladonia.graciliformis
Cladonia gracilis						Cladonia.gracilis
Cladonia humilis						Cladonia.humilis
Cladonia merochlorophaea					Cladonia.merochlorophaea
Cladonia mitrula						Cladonia.mitrula
Cladonia nanodes						Cladonia.nanodes
Cladonia nemoxyna						Cladonia.nemoxyna
Cladonia paludicola						Cladonia.paludicola
Cladonia papillaria						Cladonia.papillaria
Cladonia pityrea						Cladonia.pityrea
Cladonia pyxidata						Cladonia.pyxidata
Cladonia rangiferina						Cladonia.rangiferina
Cladonia rappii							Cladonia.rappii
Cladonia reticulata						Cladonia.reticulata
Cladonia santensis						Cladonia.santensis
Cladonia sobolescens						Cladonia.sobolescens
Cladonia stellaris						Cladonia.stellaris
Cladonia stricta						Cladonia.stricta
Cladonia sylvatica						Cladonia.sylvatica
Cladonia symphycarpa						Cladonia.symphycarpa
Cladonia turgida						Cladonia.turgida
Cladonia uncialis						Cladonia.uncialis
Collema auriforme						Collema.auriforme
Collema conglomeratum						Collema.conglomeratum
Collema crispum							Collema.crispum
Collema fasciculare						Collema.fasciculare
Collema nigrescens						Collema.nigrescens
Collema occultatum						Collema.occultatum
Collema pulposum						Collema.pulposum
Collema undulatum						Collema.undulatum
Cryptothecia rubrocincta					Cryptothecia.rubrocincta
Cyphelium sessile						Cyphelium.sessile
Dactylospora suburceolata					Dactylospora.suburceolata
Dermatocarpon lachneum						Dermatocarpon.lachneum
Dermatocarpon miniatum						Dermatocarpon.miniatum
Diploschistes scruposus						Diploschistes.scruposus
Endocarpon miniatum						Endocarpon.miniatum
Evernia furfuracea						Evernia.furfuracea
Fuscidea kochiana						Fuscidea.kochiana
Graphis scripta							Graphis.scripta
Gyrophora polyrrhiza						Gyrophora.polyrrhiza
Gyrophora proboscidea						Gyrophora.proboscidea
Gyrophora vellea						Gyrophora.vellea
Haematomma elatinum						Haematomma.elatinum
Lasallia pustulata						Lasallia.pustulata
Lecanactis chloroconia						Lecanactis.chloroconia
Lecanactis premnea						Lecanactis.premnea
Lecania dimera							Lecania.dimera
Lecania syringea						Lecania.syringea
Lecanora athroocarpa						Lecanora.athroocarpa
Lecanora caesiorubella						Lecanora.caesiorubella
Lecanora chrysoleuca						Lecanora.chrysoleuca
Lecanora cinerea						Lecanora.cinerea
Lecanora cinereofusca						Lecanora.cinereofusca
Lecanora elatina						Lecanora.elatina
Lecanora epulotica						Lecanora.epulotica
Lecanora filamentosa						Lecanora.filamentosa
